Name,Site,res_risk,nContigs,nARG,nMGE,nPAT,nARG&MGE,nARG&MGE&PAT,nARG/nContigs,nMGE/nContigs,nPAT/nContigs,nARG&MGE/nContigs,nARG&MGE&PAT/nContigs
A1,FISH,25.89546047,231458,703,207,17380,8,7,0.003037268,0.000894331,0.075089217,3.46E-05,3.02E-05
A2,WCSR,27.6560754,87321,319,39,6244,1,0,0.003653188,0.000446628,0.071506281,1.15E-05,0
A3,NA12,24.3379167,185674,480,165,9323,4,2,0.002585176,0.000888654,0.050211661,2.15E-05,1.08E-05
A4,BRB,23.34765043,275450,627,86,11806,2,2,0.002276275,0.000312216,0.042860773,7.26E-06,7.26E-06
A5,SNORKEL,21.69053382,87026,146,68,3011,1,1,0.00167766,0.000781376,0.034598856,1.15E-05,1.15E-05
A6,NA11,22.53681835,208116,405,284,9007,6,5,0.00194603,0.001364624,0.043278748,2.88E-05,2.40E-05
